week,Predicted Values,actual Values
2022-07-14,5223.751,4817
2022-07-21,5200.698,5721
2022-07-28,5425.0566,6580
2022-08-04,6326.4233,6257
2022-08-11,6161.21,6184
2022-08-18,6044.1973,6024
2022-08-25,5666.8506,5740
2022-09-01,5734.71,7149
2022-09-08,5734.644,8712
2022-09-15,5800.344,9169
2022-09-22,5252.254,7933
2022-09-29,5402.4624,7238
2022-10-06,3191.4727,6336
2022-10-13,3241.2312,5910
2022-10-20,3261.3667,4923
2022-10-27,3244.3262,4528
2022-11-03,3051.3337,4081
2022-11-10,3012.3538,3191
2022-11-17,3019.516,3040
2022-11-24,3044.6167,2913
2022-12-01,3093.0928,2561
2022-12-08,3074.7705,2633
2022-12-15,3185.5579,2648
2022-12-22,3203.0103,2568
2022-12-29,3152.8047,2501
2023-01-05,3227.798,2513
2023-01-12,3171.3545,2530
2023-01-19,3307.838,2524
2023-01-26,3287.2607,2573
2023-02-02,3274.5706,2572
2023-02-09,3296.825,2550
2023-02-16,3291.6807,2509
2023-02-23,3309.115,3177
2023-03-02,3329.7632,3304
2023-03-09,3475.5393,3521
2023-03-16,3472.9836,3565
2023-03-23,3502.2195,3563
2023-03-30,3950.745,3581
2023-04-06,4026.802,3666
2023-04-13,4277.45,4006
2023-04-20,4334.889,4149
2023-04-27,4436.528,4165
2023-05-04,3364.592,4136
2023-05-11,3417.0784,4089
2023-05-18,3348.2427,4052
2023-05-25,3410.7515,3981
2023-06-01,3126.5962,3802
2023-06-08,3099.7134,3716
2023-06-15,3118.2131,3607
2023-06-22,3089.3245,3915
2023-06-29,3050.8271,4058
2023-07-06,5103.2085,4077
2023-07-13,5090.5923,4026
2023-07-20,5208.354,4239
2023-07-27,5432.556,4415
2023-08-03,6253.196,5240
2023-08-10,5981.263,5941
2023-08-17,6105.9766,5795
2023-08-24,5896.3354,5763
2023-08-31,5883.5757,5582
2023-09-07,5146.675,5505
2023-09-14,5098.5557,5485
2023-09-21,4844.037,2782
2023-10-04,3421.8914,2813
2023-10-05,3347.2024,2950
2023-10-12,3378.2036,3051
2023-10-19,3382.3726,2964
2023-10-26,3382.485,2863
2023-11-02,3057.3025,2853
2023-11-09,3085.7244,2877
2023-11-16,3093.893,2817
2023-11-23,3068.4272,2818
2023-11-30,3110.4312,2839
2023-12-07,3344.1267,2908
2023-12-14,3258.2354,2899
2023-12-21,3261.1257,2886
2023-12-28,3287.7007,2874
2024-01-04,3271.7327,3078
2024-01-11,3279.1692,2752
2024-01-18,3262.438,2921
2024-01-25,3268.5303,3290
2024-02-01,3285.5176,3015
2024-02-08,3274.7605,3235
2024-02-15,3294.2473,3570
2024-02-22,3277.2676,3793
2024-02-29,3269.7944,3961
2024-03-07,3287.2427,3692
2024-03-14,3652.338,3365
2024-03-21,3781.6904,3702
2024-03-28,3993.3345,4033
2024-04-04,4605.637,4334
2024-04-11,4891.4497,4325
2024-04-18,4842.3706,4529
2024-04-25,4955.2393,4648
2024-05-02,3735.4202,4340
2024-05-09,3825.1663,3848
2024-05-16,4013.0188,3730
2024-05-23,4104.863,3544
2024-05-30,4120.455,3637
2024-06-06,4036.5771,3623
2024-06-13,4277.769,3414
2024-06-20,4130.875,3488
2024-06-27,4183.8726,3867
2024-07-04,6149.1333,4434
2024-07-11,6092.8687,4750
2024-07-18,6299.6274,5125
2024-07-25,6454.468,5542
2024-08-01,6485.909,5412
2024-08-08,6420.183,5917
2024-08-15,6407.823,6890
2024-08-22,6321.2827,7423
2024-08-29,6190.405,6576
