week,¼Ò¸Å°¡,Æò±Õ±â¿Â,ÃÖÀú±â¿Â,ÃÖ°í±â¿Â,°­¼ö·®,È¯À²,¼öÃâ·®,¼öÃâ¾×,»ý»ê·®,Àç¹è¸éÀû,¹°°¡Áö¼ö
01??1ì£?(2014.01.02 ~ 2014.01.08),2490,1.657142857,-3.242857143,7.628571429,0.442857143,1061.77,59788,6314.0123,52891750,615,46
01??2ì£?(2014.01.09 ~ 2014.01.15),2392,-2.7,-7.728571429,2.9,0,1061.8,59788,6314.0123,52891750,615,46
01??3ì£?(2014.01.16 ~ 2014.01.22),2296,-1.128571429,-5.742857143,4.057142857,0.414285714,1080.35,59788,6314.0123,52891750,615,46
01??4ì£?(2014.01.23 ~ 2014.01.29),2246,-1,-4.314285714,9.1,0.414285714,1081.31,59788,6314.0123,52891750,615,46
02??1ì£?(2014.02.03 ~ 2014.02.05),2242,2.671428571,-2.285714286,8.085714286,1.071428571,1075,59788,6314.0123,52891750,615,46.711
02??1ì£?(2014.02.06 ~ 2014.02.12),2239,0.828571429,-2.514285714,4.9,1.814285714,1063.5,88734,5261.6891,52891750,615,47
02??2ì£?(2014.02.13 ~ 2014.02.19),2273,2.285714286,-2.157142857,7.371428571,0.771428571,1073,88734,5261.6891,52891750,615,47
02??3ì£?(2014.02.20 ~ 2014.02.26),2202,3.328571429,-2.657142857,10.3,0.585714286,1066.46,88734,5261.6891,52891750,615,47
02??4ì£?(2014.02.27 ~ 2014.03.05),2126,5.685714286,0.957142857,11.22857143,0.557142857,1065.15,88734,5261.6891,52891750,615,47
03??1ì£?(2014.03.06 ~ 2014.03.12),2029,2.914285714,-2.871428571,8.557142857,3.471428571,1071.23,242091,12426.572,52891750,615,45.606
03??2ì£?(2014.03.13 ~ 2014.03.19),1918,8.428571429,2.9,14.15714286,1.571428571,1080,242091,12426.572,52891750,615,46
03??3ì£?(2014.03.20 ~ 2014.03.26),1898,9.771428571,3.971428571,15.74285714,2.985714286,1070,242091,12426.572,52891750,615,46
03??4ì£?(2014.03.27 ~ 2014.04.02),1915,13.54285714,7.285714286,20.58571429,2.071428571,1054.3,242091,12426.572,52891750,615,46
04??1ì£?(2014.04.03 ~ 2014.04.09),1942,9.8,3.457142857,16.71428571,0.9,1035.65,381412,21771.7651,52891750,615,40.07
04??2ì£?(2014.04.10 ~ 2014.04.16),1998,14,8.028571429,20.71428571,0.371428571,1038,381412,21771.7651,52891750,615,40
04??3ì£?(2014.04.17 ~ 2014.04.23),2011,14.04285714,8.442857143,20.45714286,1.885714286,1041.2,381412,21771.7651,52891750,615,40
04??4ì£?(2014.04.24 ~ 2014.04.30),2021,15.52857143,10.8,20.74285714,9.085714286,1030.12,381412,21771.7651,52891750,615,40
05??1ì£?(2014.05.02 ~ 2014.05.07),2022,14.42857143,7.828571429,21.41428571,0.257142857,1024.2,783892,41728.3138,52891750,615,38.329
05??2ì£?(2014.05.08 ~ 2014.05.14),2010,17.41428571,11.4,23.61428571,5.485714286,1023.82,783892,41728.3138,52891750,615,38
05??3ì£?(2014.05.15 ~ 2014.05.21),1762,18.72857143,12.74285714,25.25714286,0.642857143,1024.85,783892,41728.3138,52891750,615,38
05??4ì£?(2014.05.22 ~ 2014.05.28),1695,20.72857143,15.12857143,26.94285714,1.6,1020.8,783892,41728.3138,52891750,615,38
05??5ì£?(2014.05.29 ~ 2014.06.03),1656,22.24285714,16.97142857,28.04285714,4.114285714,1019.95,783892,41728.3138,52891750,615,38
06??1ì£?(2014.06.05 ~ 2014.06.11),1620,20.85714286,17.41428571,25.54285714,1.685714286,1018.05,379429,21816.1786,52891750,615,39.277
06??2ì£?(2014.06.12 ~ 2014.06.18),1785,21.74285714,17.21428571,27.22857143,1.485714286,1021.21,379429,21816.1786,52891750,615,39
