week,Predicted Values,actual Values
2022-07-14,2204.8901,2534
2022-07-21,2217.78,2548
2022-07-28,2185.279,2605
2022-08-04,2537.1907,2578
2022-08-11,2540.028,2419
2022-08-18,2621.1367,2509
2022-08-25,2612.2983,2564
2022-09-01,2587.9143,2600
2022-09-08,2779.832,2611
2022-09-15,2767.6245,2617
2022-09-22,2781.0288,2634
2022-09-29,2705.281,2635
2022-10-06,2544.1497,2648
2022-10-13,2567.3975,2651
2022-10-20,2563.3015,2700
2022-10-27,2564.8035,2758
2022-11-03,2746.8557,2748
2022-11-10,2712.9968,2785
2022-11-17,2733.6367,2818
2022-11-24,2709.8464,2834
2022-12-01,2548.0908,2777
2022-12-08,2544.6816,2839
2022-12-15,2537.9934,2859
2022-12-22,2543.9993,2923
2022-12-29,2548.9092,2934
2023-01-05,2728.197,2852
2023-01-12,2680.9753,2765
2023-01-19,2730.6433,2750
2023-01-26,2730.3716,2724
2023-02-02,2636.4607,2563
2023-02-09,2619.1602,2535
2023-02-16,2634.2842,2541
2023-02-23,2635.2363,2555
2023-03-02,2565.815,2668
2023-03-09,2554.6301,2788
2023-03-16,2564.1797,2973
2023-03-23,2540.5522,2910
2023-03-30,2513.9526,2888
2023-04-06,2810.4807,2850
2023-04-13,2807.0916,2815
2023-04-20,2813.0552,2419
2023-04-27,2805.8706,2153
2023-05-04,2552.4062,2246
2023-05-11,2664.6125,2245
2023-05-18,2652.3625,2217
2023-05-25,2567.7656,2281
2023-06-01,2388.6343,2024
2023-06-08,2369.1587,2179
2023-06-15,2366.1367,2147
2023-06-22,2269.9219,2142
2023-06-29,2267.8484,2107
2023-07-06,2409.4111,2104
2023-07-13,2362.1096,2154
2023-07-20,2446.9568,2117
2023-07-27,2533.4434,2082
2023-08-03,2375.7576,2095
2023-08-10,2285.8167,2108
2023-08-17,2355.6384,2086
2023-08-24,2287.3386,2067
2023-08-31,2394.7249,2047
2023-09-07,2550.9885,2062
2023-09-14,2408.9092,2069
2023-09-21,2543.711,2075
2023-10-04,2618.51,2367
2023-10-05,2624.2502,2277
2023-10-12,2623.9768,2236
2023-10-19,2616.5955,2293
2023-10-26,2622.3374,2376
2023-11-02,2399.697,2046
2023-11-09,2443.7795,2093
2023-11-16,2436.52,2122
2023-11-23,2450.8943,2174
2023-11-30,2450.8943,2333
2023-12-07,2487.9185,2476
2023-12-14,2455.657,2306
2023-12-21,2533.1638,2370
2023-12-28,2525.5076,2364
2024-01-04,2568.004,2270
2024-01-11,2563.2166,2266
2024-01-18,2542.6597,2422
2024-01-25,2570.8745,2423
2024-02-01,2293.738,2119
2024-02-08,2317.2083,2052
2024-02-15,2241.6682,2235
2024-02-22,2306.0999,2382
2024-02-29,2309.3928,2372
2024-03-07,2499.8413,2404
2024-03-14,2499.431,2505
2024-03-21,2457.4539,2695
2024-03-28,2431.2632,2753
2024-04-04,2826.4028,2806
2024-04-11,2802.0046,2683
2024-04-18,2799.5452,2335
2024-04-25,2807.1934,2830
2024-05-02,2776.6934,2230
2024-05-09,2830.568,2214
2024-05-16,2866.3953,2127
2024-05-23,2853.6675,2077
2024-05-30,2869.505,2077
2024-06-06,2569.7043,2341
2024-06-13,2583.6248,2248
2024-06-20,2536.0051,2118
2024-06-27,2463.2742,2042
2024-07-04,2261.014,2071
2024-07-11,2299.5203,2052
2024-07-18,2275.0786,1944
2024-07-25,2375.095,1874
2024-08-01,2058.8213,1899
2024-08-08,2077.839,1985
2024-08-15,2029.1218,1977
2024-08-22,2065.8538,1920
2024-08-29,2078.9402,1949
