week,Predicted Values,Actual Values
2022-07-14,15739.665,16255
2022-07-21,15737.677,15642
2022-07-28,15270.1455,14301
2022-08-04,19464.62,13737
2022-08-11,19754.717,15731
2022-08-18,20052.117,15856
2022-08-25,20602.525,15514
2022-09-01,19753.896,16124
2022-09-08,19774.375,18739
2022-09-15,19691.412,17014
2022-09-22,20375.293,15416
2022-09-29,22849.945,18211
2022-10-06,23381.016,23451
2022-10-13,23392.352,22956
2022-10-20,23511.678,23255
2022-10-27,23482.467,22431
2022-11-03,19113.48,22144
2022-11-10,18883.969,19731
2022-11-17,18986.016,17495
2022-11-24,19185.748,15698
2022-12-01,19321.793,15681
2022-12-08,19282.422,16295
2022-12-15,19361.914,17807
2022-12-22,19366.348,18824
2022-12-29,17427.037,20985
2023-01-05,17323.111,20742
2023-01-12,17283.979,19818
2023-01-19,17449.943,20624
2023-01-26,17407.02,20495
2023-02-02,21196.906,18311
2023-02-09,21186.053,17518
2023-02-16,21186.469,17067
2023-02-23,21123.346,19345
2023-03-02,28058.902,21670
2023-03-09,28048.965,27791
2023-03-16,28070.094,28674
2023-03-23,28118.592,31358
2023-03-30,28959.87,32937
2023-04-06,29078.963,34117
2023-04-13,29036.555,33385
2023-04-20,29055.111,34585
2023-04-27,28932.855,30876
2023-05-04,21634.287,22369
2023-05-11,21351.494,18660
2023-05-18,21324.527,18601
2023-05-25,21012.602,24063
2023-06-01,19641.621,20936
2023-06-08,19497.662,18091
2023-06-15,19353.424,17935
2023-06-22,19167.549,21267
2023-06-29,18006.182,21339
2023-07-06,18070.807,19454
2023-07-13,17957.908,17021
2023-07-20,17848.541,18101
2023-07-27,17589.555,17077
2023-08-03,18029.309,15817
2023-08-10,18443.553,16915
2023-08-17,18220.197,15928
2023-08-24,18567.416,15145
2023-08-31,19186.744,15858
2023-09-07,19448.553,16327
2023-09-14,19332.703,20087
2023-09-21,19800.88,22555
2023-10-04,20141.8,21219
2023-10-05,20932.502,21243
2023-10-12,21054.617,19475
2023-10-19,21217.793,21553
2023-10-26,22767.328,21179
2023-11-02,22671.37,19456
2023-11-09,23211.234,19169
2023-11-16,23210.104,16659
2023-11-23,23275.984,15887
2023-11-30,21528.828,16605
2023-12-07,21240.225,18968
2023-12-14,21617.322,18859
2023-12-21,21603.166,18961
2023-12-28,21561.5,19065
2024-01-04,19686.861,18566
2024-01-11,19656.74,17567
2024-01-18,19743.33,16939
2024-01-25,19679.064,17100
2024-02-01,23619.334,17913
2024-02-08,23516.215,18728
2024-02-15,23505.824,18091
2024-02-22,23613.562,20349
2024-02-29,30459.025,24831
2024-03-07,30397.625,29865
2024-03-14,30408.984,26789
2024-03-21,30481.006,27959
2024-03-28,30434.29,31240
2024-04-04,32571.348,33926
2024-04-11,32498.496,37328
2024-04-18,32590.645,34821
2024-04-25,32510.44,33520
2024-05-02,25875.582,33560
2024-05-09,25821.623,30323
2024-05-16,25688.414,23036
2024-05-23,25583.533,22564
2024-05-30,20488.31,24990
2024-06-06,20116.176,22951
2024-06-13,19880.803,20040
2024-06-20,19849.33,19308
2024-06-27,19729.469,19167
2024-07-04,16108.546,19495
2024-07-11,16228.2705,18556
2024-07-18,15823.995,18528
2024-07-25,15571.51,18177
2024-08-01,18560.744,18028
2024-08-08,18740.047,18759
2024-08-15,18713.14,18668
2024-08-22,18848.24,18625
2024-08-29,15659.249,17955
