week,家概啊,乞闭扁柯,弥历扁柯,弥绊扁柯,碍荐樊,券啦,荐免樊,荐免啊,荐涝樊,荐涝啊,积魂樊,犁硅搁利,拱啊瘤荐,market price,
01岿 1林 (2014.01.02 ~ 2014.01.08),1132,1.657142857,-3.242857143,7.628571429,0.442857143,1061.77,115,5763.8865,480,125853180,27020,382.8846154,50,82.358,10000
01岿 2林 (2014.01.09 ~ 2014.01.15),1062,-2.7,-7.728571429,2.9,0,1061.8,115,5763.8865,480,125853180,27020,382.8846154,50,82.358,
01岿 3林 (2014.01.16 ~ 2014.01.22),1060,-1.128571429,-5.742857143,4.057142857,0.414285714,1080.35,115,5763.8865,480,125853180,27020,382.8846154,50,82.358,
01岿 4林 (2014.01.23 ~ 2014.01.29),992,-1,-4.314285714,9.1,0.414285714,1081.31,115,5763.8865,480,125853180,27020,382.8846154,50,82.358,
02岿 1林 (2014.02.03 ~ 2014.02.05),1007,2.671428571,-2.285714286,8.085714286,1.071428571,1075,97,4893.5061,169,51969740,27020,382.8846154,44.793,83.296,
02岿 1林 (2014.02.06 ~ 2014.02.12),1045,0.828571429,-2.514285714,4.9,1.814285714,1063.5,97,4893.5061,169,51969740,27020,382.8846154,45,83.296,
02岿 2林 (2014.02.13 ~ 2014.02.19),1030,2.285714286,-2.157142857,7.371428571,0.771428571,1073,97,4893.5061,169,51969740,27020,382.8846154,45,83.296,
02岿 3林 (2014.02.20 ~ 2014.02.26),1049,3.328571429,-2.657142857,10.3,0.585714286,1066.46,97,4893.5061,169,51969740,27020,382.8846154,45,83.296,
02岿 4林 (2014.02.27 ~ 2014.03.05),988,5.685714286,0.957142857,11.22857143,0.557142857,1065.15,97,4893.5061,169,51969740,27020,382.8846154,45,83.296,
03岿 1林 (2014.03.06 ~ 2014.03.12),979,2.914285714,-2.871428571,8.557142857,3.471428571,1071.23,51,2251.001,202,61363481,27020,382.8846154,43.357,83.205,
03岿 2林 (2014.03.13 ~ 2014.03.19),1033,8.428571429,2.9,14.15714286,1.571428571,1080,51,2251.001,202,61363481,27020,383,43,83.205,
03岿 3林 (2014.03.20 ~ 2014.03.26),1035,9.771428571,3.971428571,15.74285714,2.985714286,1070,51,2251.001,202,61363481,27020,383,43,83.205,
03岿 4林 (2014.03.27 ~ 2014.04.02),1009,13.54285714,7.285714286,20.58571429,2.071428571,1054.3,51,2251.001,202,61363481,27020,383,43,83.205,
04岿 1林 (2014.04.03 ~ 2014.04.09),1037,9.8,3.457142857,16.71428571,0.9,1035.65,5,469.0744,126,39096846,27020,383,44.075,83.054,
04岿 2林 (2014.04.10 ~ 2014.04.16),1086,14,8.028571429,20.71428571,0.371428571,1038,5,469.0744,126,39096846,27020,383,44,83.054,
04岿 3林 (2014.04.17 ~ 2014.04.23),1108,14.04285714,8.442857143,20.45714286,1.885714286,1041.2,5,469.0744,126,39096846,27020,383,44,83.054,
04岿 4林 (2014.04.24 ~ 2014.04.30),1192,15.52857143,10.8,20.74285714,9.085714286,1030.12,5,469.0744,126,39096846,27020,383,44,83.054,
05岿 1林 (2014.05.02 ~ 2014.05.07),1175,14.42857143,7.828571429,21.41428571,0.257142857,1024.2,7,441.6213,138,40082625,27020,383,44.524,82.729,
05岿 2林 (2014.05.08 ~ 2014.05.14),1210,17.41428571,11.4,23.61428571,5.485714286,1023.82,7,441.6213,138,40082625,27020,383,45,82.729,
05岿 3林 (2014.05.15 ~ 2014.05.21),1265,18.72857143,12.74285714,25.25714286,0.642857143,1024.85,7,441.6213,138,40082625,27020,383,45,82.729,
05岿 4林 (2014.05.22 ~ 2014.05.28),1330,20.72857143,15.12857143,26.94285714,1.6,1020.8,7,441.6213,138,40082625,27020,383,45,82.729,
05岿 5林 (2014.05.29 ~ 2014.06.03),1350,22.24285714,16.97142857,28.04285714,4.114285714,1019.95,7,441.6213,138,40082625,27020,383,45,82.729,
06岿 1林 (2014.06.05 ~ 2014.06.11),1495,20.85714286,17.41428571,25.54285714,1.685714286,1018.05,12,1067.6573,151,44689519,27020,383,51.203,81.671,
06岿 2林 (2014.06.12 ~ 2014.06.18),1456,21.74285714,17.21428571,27.22857143,1.485714286,1021.21,12,1067.6573,151,44689519,27020,383,51,81.671,
06岿 3林 (2014.06.19 ~ 2014.06.25),1452,21.95714286,18.31428571,26.68571429,3.542857143,1014.12,12,1067.6573,151,44689519,27020,383,51,81.671,
06岿 4林 (2014.06.26 ~ 2014.07.02),1359,23.78571429,19.37142857,29.28571429,1.671428571,1009.45,12,1067.6573,151,44689519,27020,383,51,81.671,
07岿 1林 (2014.07.03 ~ 2014.07.09),1426,23.41428571,20.37142857,27.3,6.828571429,1019.05,2,116.2545,146,42449340,27020,383,53.017,81.754,
07岿 2林 (2014.07.10 ~ 2014.07.16),1451,25.32857143,21.5,30.21428571,1.9,1029.5,2,116.2545,146,42449340,27020,383,53,81.754,
07岿 3林 (2014.07.17 ~ 2014.07.23),1370,25.82857143,22.51428571,30.21428571,6.914285714,1026.05,2,116.2545,146,42449340,27020,383,53,81.754,
07岿 4林 (2014.07.24 ~ 2014.07.30),1453,25.6,21.38571429,30.6,4.071428571,1037.75,2,116.2545,146,42449340,27020,383,53,81.754,
07岿 5林 (2014.07.31 ~ 2014.08.06),1509,26.48571429,23.61428571,30.41428571,15.02857143,1036.55,2,116.2545,146,42449340,27020,383,53,81.754,
08岿 1林 (2014.08.07 ~ 2014.08.13),1599,23.68571429,20.41428571,27.94285714,6.842857143,1021.2,4,205.5125,100,29912063,27020,383,53.337,82.994,
08岿 2林 (2014.08.14 ~ 2014.08.20),1479,22.75714286,20.47142857,26.02857143,17.71428571,1018,4,205.5125,100,29912063,27020,383,53,82.994,
08岿 3林 (2014.08.21 ~ 2014.08.27),1550,23.87142857,20.94285714,27.94285714,13.11428571,1014.1,4,205.5125,100,29912063,27020,383,53,82.994,
08岿 4林 (2014.08.28 ~ 2014.09.03),1490,21.74285714,17.88571429,26.51428571,6.3,1024.65,4,205.5125,100,29912063,27020,383,53,82.994,
09岿 1林 (2014.09.04 ~ 2014.09.05),1571,22.54285714,17.85714286,28.74285714,0.142857143,1035.3,10,854.2394,97,28660069,27020,383,57.723,83.953,
09岿 2林 (2014.09.11 ~ 2014.09.17),1589,21.1,16.67142857,26.62857143,0.428571429,1044.2,10,854.2394,97,28660069,27020,383,58,83.953,
09岿 3林 (2014.09.18 ~ 2014.09.24),1573,19.45714286,14.38571429,25.47142857,10,1044.35,10,854.2394,97,28660069,27020,383,58,83.953,
09岿 4林 (2014.09.25 ~ 2014.10.01),1622,19.71428571,16,24.7,0.985714286,1061.35,10,854.2394,97,28660069,27020,383,58,83.953,
10岿 1林 (2014.10.02 ~ 2014.10.08),1582,16.31428571,11.05714286,22.51428571,0.4,1074.1,11,908.897,85,23841520,27020,383,59.249,80.982,
10岿 2林 (2014.10.10 ~ 2014.10.15),1517,16.1,10.38571429,22.5,2.128571429,1063.37,11,908.897,85,23841520,27020,383,59,80.982,
10岿 3林 (2014.10.16 ~ 2014.10.22),1466,14.1,8.871428571,20.02857143,10.72857143,1057.5,11,908.897,85,23841520,27020,383,59,80.982,
10岿 4林 (2014.10.23 ~ 2014.10.29),1479,12.87142857,7,20.6,0.014285714,1073.6,11,908.897,85,23841520,27020,383,59,80.982,
10岿 5林 (2014.10.30 ~ 2014.11.05),1368,11.62857143,6.871428571,17.07142857,3.928571429,1086.84,11,908.897,85,23841520,27020,383,59,80.982,
11岿 1林 (2014.11.06 ~ 2014.11.12),1368,10.11428571,4.885714286,16.2,0.8,1100.84,24,1371.4054,226,69091215,27020,383,54.693,80.219,
11岿 2林 (2014.11.13 ~ 2014.11.19),1245,5.514285714,0.628571429,11.52857143,0.142857143,1111.25,24,1371.4054,226,69091215,27020,383,55,80.219,
11岿 3林 (2014.11.20 ~ 2014.11.26),1226,8.828571429,4.285714286,14.34285714,4.414285714,1113.17,24,1371.4054,226,69091215,27020,383,55,80.219,
11岿 4林 (2014.11.27 ~ 2014.12.03),1199,5.571428571,1.371428571,10.11428571,2.885714286,1121.6,24,1371.4054,226,69091215,27020,383,55,80.219,
12岿 1林 (2014.12.04 ~ 2014.12.10),1311,-0.657142857,-4.7,3.971428571,0.771428571,1104.35,114,5491.158,152,46333500,27020,383,47.724,81.573,
12岿 2林 (2014.12.11 ~ 2014.12.17),1376,-0.957142857,-4.957142857,2.957142857,1.571428571,1100.11,114,5491.158,152,46333500,27020,383,48,81.573,
12岿 3林 (2014.12.18 ~ 2014.12.24),1345,-1.271428571,-6.385714286,3.928571429,0.571428571,1099.8,114,5491.158,152,46333500,27020,383,48,81.573,
12岿 4林 (2014.12.26 ~ 2014.12.31),1340,0.385714286,-4.357142857,6.171428571,0.128571429,1106.92,114,5491.158,152,46333500,27020,383,48,81.573,
01岿 1林 (2015.01.02 ~ 2015.01.07),1289,-0.857142857,-5.628571429,4.542857143,1.371428571,1085.82,124,5985.5796,124,30428566,26028,366.8269231,50.396,83.728,
01岿 2林 (2015.01.08 ~ 2015.01.14),1334,0.1,-4.8,5.642857143,0.071428571,1079.07,124,5985.5796,124,30428566,26028,366.8269231,50,83.728,
01岿 3林 (2015.01.15 ~ 2015.01.21),1258,1.385714286,-3.214285714,6.142857143,0.757142857,1077.51,124,5985.5796,124,30428566,26028,366.8269231,50,83.728,
01岿 4林 (2015.01.22 ~ 2015.01.28),1222,2.114285714,-1.771428571,6.7,1.142857143,1102.4,124,5985.5796,124,30428566,26028,366.8269231,50,83.728,
01岿 5林 (2015.01.29 ~ 2015.02.04),1208,-0.414285714,-5.157142857,5.242857143,0.228571429,1098.01,124,5985.5796,124,30428566,26028,366.8269231,50,83.728,
02岿 1林 (2015.02.05 ~ 2015.02.11),1255,0.385714286,-4.5,5.914285714,0.057142857,1097.88,106,5251.4321,92,23792288,26028,366.8269231,51.619,84.803,
02岿 2林 (2015.02.12 ~ 2015.02.17),1206,2.742857143,-1.214285714,6.885714286,2.028571429,1110.56,106,5251.4321,92,23792288,26028,366.8269231,52,84.803,
02岿 4林 (2015.02.23 ~ 2015.02.25),1216,4.428571429,-0.171428571,9.771428571,1.314285714,1101.28,106,5251.4321,92,23792288,26028,366.8269231,52,84.803,
02岿 4林 (2015.02.26 ~ 2015.03.04),1298,2.257142857,-1.9,6.942857143,0.785714286,1110.81,106,5251.4321,92,23792288,26028,366.8269231,52,84.803,
03岿 1林 (2015.03.05 ~ 2015.03.11),1281,2.8,-3.685714286,9.457142857,0.014285714,1138.12,43,2254.938,135,29861512,26028,367,52.002,83.141,
03岿 2林 (2015.03.12 ~ 2015.03.18),1250,7.271428571,0.742857143,14.12857143,4.714285714,1113.51,43,2254.938,135,29861512,26028,367,52,83.141,
03岿 3林 (2015.03.19 ~ 2015.03.25),1254,8.771428571,2.642857143,15.98571429,0.071428571,1103.73,43,2254.938,135,29861512,26028,367,52,83.141,
03岿 4林 (2015.03.26 ~ 2015.04.01),1286,11.2,4.342857143,18.05714286,0.714285714,1086.48,43,2254.938,135,29861512,26028,367,52,83.141,
04岿 1林 (2015.04.02 ~ 2015.04.08),1284,10.45714286,7.185714286,14.67142857,6.128571429,1093.96,5,403.6379,49,13761149,26028,367,54.028,83.208,
